Re,split,accepted,steps,final_residual,seconds,ghia_Eu,ghia_Ev,truth_div_l2,truth_wall_rms,truth_lid_u_mae
100,train,True,6750,3.490211675965052e-06,1.494471788406372,0.0085939170901689,0.02420466814537845,2.341252703763898e-16,0.0,0.0
150,train,True,9000,4.123696192877717e-06,1.8586907386779783,,,2.818807002135876e-16,0.0,0.0
175,test,True,10250,3.943104348307535e-06,2.1252033710479736,,,2.3468635107015775e-16,0.0,0.0
200,train,True,11000,4.286543326807121e-06,2.3102657794952397,,,2.2245668171472237e-16,0.0,0.0
225,train,True,12000,4.180859133026787e-06,2.529663562774658,,,2.1452235575076174e-16,0.0,0.0
250,train,True,12750,4.292582173232523e-06,2.6841611862182617,,,2.093075009980984e-16,0.0,0.0
275,test,True,13500,4.3300078864909565e-06,2.803539037704468,,,2.201534983709786e-16,0.0,0.0
300,train,True,14250,4.3099269828895615e-06,2.8856561183929443,,,1.7254884751651613e-16,0.0,0.0
350,train,True,15500,4.3879718855643405e-06,3.11896014213562,,,2.400786034954479e-16,0.0,0.0
375,test,True,16250,4.246721488177422e-06,3.351877450942993,,,2.087150091913545e-16,0.0,0.0
400,train,True,16750,4.31579792577382e-06,3.4169347286224365,0.0523926030520869,0.1542589220863266,1.9193891292034423e-16,0.0,0.0
