method,seed,Re,relative_L2_uv,MAE_u,MAE_v,p95_vector_error,max_vector_error,div_l2_pred,div_linf_pred,wall_rms_error,wall_max_error,lid_u_mae,centerline_rel_L2_u,centerline_rel_L2_v
individual POD-DeepONet,690,175.0,0.0060412212195520955,0.0007989670397267522,0.0008068190703418714,0.003229868461457135,0.004440213437914365,1.100740106597876e-15,9.381384558082573e-15,0.0,0.0,0.0,0.005057217893641388,0.007138698788773687
individual POD-DeepONet,690,275.0,0.001029566635212646,0.00015739928274998333,0.00013119760570011915,0.0005046053677532084,0.0008169443516135201,1.0830165438349079e-15,9.769962616701378e-15,0.0,0.0,0.0,0.000955546189248333,0.001136553575305908
individual POD-DeepONet,690,375.0,0.0008921854335433466,0.00013457599919250527,9.306599966356622e-05,0.0005461765898616522,0.0007483607947511116,1.1354803845270887e-15,9.43689570931383e-15,0.0,0.0,0.0,0.0009756350449969519,0.0008865225679999521
individual POD-DeepONet,691,175.0,0.002997163693462624,0.00040866040403599805,0.00042273772329226724,0.0014544023353726357,0.0017066911815455143,1.0778891087854128e-15,8.104628079763643e-15,0.0,0.0,0.0,0.0028084013111627807,0.004218118579595543
individual POD-DeepONet,691,275.0,0.0006974643791034448,0.00010364809224694169,9.082294526387206e-05,0.0003717008592723784,0.0005464665807419515,1.0883667206482908e-15,1.0103029524088925e-14,0.0,0.0,0.0,0.0006874202210192094,0.0006209405351421137
individual POD-DeepONet,691,375.0,0.0010353668729244515,0.00015584027669834856,0.00013178839204040828,0.0005751274219185774,0.0007220431811917867,1.1594358209274185e-15,9.880984919163893e-15,0.0,0.0,0.0,0.0011868730109046157,0.0013547000436550747
individual POD-DeepONet,692,175.0,0.005320641984972452,0.000824940981456714,0.0006607293523294403,0.002673669686789785,0.0031792413934881485,1.1036551711851069e-15,9.492406860545088e-15,0.0,0.0,0.0,0.0057025695246917755,0.008165499087167329
individual POD-DeepONet,692,275.0,0.0006776946478097256,9.555937537373764e-05,8.06471778218585e-05,0.00039258709122052073,0.0006100736848266941,1.1147601067585885e-15,9.381384558082573e-15,0.0,0.0,0.0,0.0006754932705490289,0.00048090196045029644
individual POD-DeepONet,692,375.0,0.0014516761431601346,0.00022865523618343373,0.0001803336141311588,0.000784614052796579,0.0009629905542114408,1.1457672266045833e-15,8.326672684688674e-15,0.0,0.0,0.0,0.00165341194980561,0.0018107767492048469
three-seed POD-DeepONet ensemble,-1,175.0,0.004525099681761542,0.0006383834921015922,0.0006055557543946565,0.00229933754409667,0.0028721729899487593,1.3313831348924986e-15,1.0436096431476471e-14,0.0,0.0,0.0,0.004319392083011669,0.006325367365328508
three-seed POD-DeepONet ensemble,-1,275.0,0.0007179172961319272,0.00010646169464743927,9.290432873506318e-05,0.00037553811590786997,0.0005918196885346876,1.3446080860056416e-15,1.1435297153639112e-14,0.0,0.0,0.0,0.0006596240443686263,0.0006570053031037729
three-seed POD-DeepONet ensemble,-1,375.0,0.0009284041594513549,0.00013913416918001693,0.00011876595520326664,0.0005158456840538763,0.0007365387247855949,1.3534594616826048e-15,9.769962616701378e-15,0.0,0.0,0.0,0.001077491961042251,0.0012078833514390932
