protocol,estimator,depths_lambda,target,nrmse_S0,nrmse_S1,nrmse_S2,S1_gain_percent
LOCO,extra_trees,0.5,cp,0.8932511427636421,0.9208206413611437,0.9218172052919715,-3.0864218670019183
LOCO,extra_trees,0.5,cf,0.39452765305964127,0.39501954905294306,0.39571799564289506,-0.12467972510596959
LOCO,extra_trees,0.5+1+2,cp,0.9162233334480209,0.9403656059967739,0.9334294779386678,-2.634976830146691
LOCO,extra_trees,0.5+1+2,cf,0.39330202522204005,0.39505724180159446,0.3881639791927197,-0.44627702554124776
LOCO,ridge_100,0.5,cp,0.7635220059960998,0.7835203476980795,0.7976822333522011,-2.619222700187889
LOCO,ridge_100,0.5,cf,0.3998080305353618,0.33507081540094413,0.3363074518866809,16.1920747434041
LOCO,ridge_100,0.5+1+2,cp,0.7755426429534238,0.810874584510332,0.8024861440730217,-4.555770321327144
LOCO,ridge_100,0.5+1+2,cf,0.39134625277472734,0.34691610276328794,0.33563734244540555,11.353155855312345
LOO-case,extra_trees,0.5,cp,0.6859837359346367,0.7233245652725484,0.7502552900469434,-5.4433986378752435
LOO-case,extra_trees,0.5,cf,0.3849172303173685,0.3836884849345489,0.38887283182536586,0.3192232734831138
LOO-case,extra_trees,0.5+1+2,cp,0.7133231291171209,0.7929001195229963,0.8083977438175537,-11.155812444266
LOO-case,extra_trees,0.5+1+2,cf,0.3852231091964166,0.3922860253635631,0.3823638722360057,-1.8334611809452146
LOO-case,ridge_100,0.5,cp,0.6942100117730504,0.7253284263736515,0.7563463084889528,-4.482564940416649
LOO-case,ridge_100,0.5,cf,0.39301852926183783,0.33178658992202864,0.3343010162188578,15.579911576895423
LOO-case,ridge_100,0.5+1+2,cp,0.7245472059900918,0.762497511159584,0.7540064542767049,-5.2377960822626
LOO-case,ridge_100,0.5+1+2,cf,0.3922118910645326,0.3450752693357258,0.33312216294864805,12.018152127124354
