seed,case_id,geometry,knudsen,target,samples,nrmse_P,nrmse_S0,nrmse_S1,nrmse_S2,S1_gain_vs_S0_percent,S2_gain_vs_S1_percent
11,BWD_Ma6_Kn0p2,BWD,0.2,cp,60,0.03146680395277035,0.05556260803276809,0.055245660666759226,0.061455112524581516,0.5704328454523716,-11.239709658424733
11,BWD_Ma6_Kn0p2,BWD,0.2,cf,60,0.3120509328628589,0.31429587874867626,0.4561779714398248,0.4678740875560365,-45.1428422338949,-2.563937070283224
11,BWD_Ma6_Kn0p4,BWD,0.4,cp,60,0.04409519690055721,0.053526933476111864,0.08419475309635835,0.08872693904185586,-57.29418374757635,-5.382979079837146
11,BWD_Ma6_Kn0p4,BWD,0.4,cf,60,0.23515589978966,0.20871705015067946,0.29742452823448173,0.35650940704730005,-42.501308838813856,-19.865503078561613
11,FWD_Ma6_Kn0p2,FWD,0.2,cp,60,0.029202572181345948,0.099963445621047,0.0661973097678553,0.054866164895259584,33.77848336800661,17.117228649219218
11,FWD_Ma6_Kn0p2,FWD,0.2,cf,60,0.5318306544703034,0.7943720746941726,0.8700270295286809,0.8279454732917996,-9.523868882681324,4.8368102149284
11,FWD_Ma6_Kn0p4,FWD,0.4,cp,60,0.02400751271075675,0.1057374591289265,0.060821781010711284,0.055854998240612026,42.47849200106954,8.166125173520587
11,FWD_Ma6_Kn0p4,FWD,0.4,cf,60,0.40056645195440177,0.709764384012411,0.6930383736825577,0.6842085956008898,2.356558134869846,1.2740677020162219
11,ISO_Ma6_Kn0p2,ISO,0.2,cp,60,0.027450817668482827,0.08849438047616204,0.03846334562001599,0.0357507775418658,56.53583265620244,7.052345640829008
11,ISO_Ma6_Kn0p2,ISO,0.2,cf,60,0.2309654920645003,0.5988057529820026,0.6434312947465398,0.6503837700588748,-7.452423685361369,-1.0805311101745092
11,ISO_Ma6_Kn0p4,ISO,0.4,cp,60,0.02422954605765715,0.0834724911178095,0.05614354323996491,0.04838829628911993,32.74006503444791,13.813248155176165
11,ISO_Ma6_Kn0p4,ISO,0.4,cf,60,0.2232731113086951,0.33920600328810935,0.42586872350763594,0.4426645523476338,-25.54869883771438,-3.9438981810310634
29,BWD_Ma6_Kn0p2,BWD,0.2,cp,60,0.028641637550043758,0.058454016011610106,0.05836200511612995,0.06519853221822726,0.15740731220568938,-11.714003123254326
29,BWD_Ma6_Kn0p2,BWD,0.2,cf,60,0.2916696693235169,0.32710401241727743,0.46977997902787544,0.46000360765155923,-43.61792004819258,2.0810532191147515
29,BWD_Ma6_Kn0p4,BWD,0.4,cp,60,0.034008210531940294,0.060793418683093785,0.0873561478691286,0.09427591112428435,-43.69342892937475,-7.921323712124418
29,BWD_Ma6_Kn0p4,BWD,0.4,cf,60,0.18720066741287814,0.2173200178259663,0.29077643505762996,0.3444327542132741,-33.80103589467255,-18.452774257655985
29,FWD_Ma6_Kn0p2,FWD,0.2,cp,60,0.03231074185620307,0.09466914953572833,0.06743161338255052,0.05573135424201587,28.77129063349017,17.351296452239954
29,FWD_Ma6_Kn0p2,FWD,0.2,cf,60,0.4840482138800966,0.8166157091788694,0.8646325281273927,0.7980596135063631,-5.879977375993118,7.699561658316521
29,FWD_Ma6_Kn0p4,FWD,0.4,cp,60,0.03114009700992636,0.10747552010803414,0.059550043349374186,0.05349768034460778,44.5919933306537,10.163490510422966
29,FWD_Ma6_Kn0p4,FWD,0.4,cf,60,0.36467088287463517,0.7150491256725621,0.68266990356465,0.6704829636042174,4.528251408944358,1.7851878187095729
29,ISO_Ma6_Kn0p2,ISO,0.2,cp,60,0.026627680192650893,0.08790875748543417,0.03534962110588583,0.03539960086532023,59.78828262731047,-0.1413869735256487
29,ISO_Ma6_Kn0p2,ISO,0.2,cf,60,0.2284745257382247,0.5786886739909665,0.6399903917707562,0.6787718516751299,-10.593211952295217,-6.059694083386352
29,ISO_Ma6_Kn0p4,ISO,0.4,cp,60,0.02002486966595297,0.09125664399327955,0.051357843890754235,0.04844701197555273,43.721529037889674,5.667745556829214
29,ISO_Ma6_Kn0p4,ISO,0.4,cf,60,0.20056781893797723,0.3295075030588734,0.4399121329727217,0.48165260662238635,-33.505953245053185,-9.488366089746592
47,BWD_Ma6_Kn0p2,BWD,0.2,cp,60,0.0353958227191904,0.0651332644732745,0.057255257712126875,0.06286860970226141,12.095212522903916,-9.804081257232038
47,BWD_Ma6_Kn0p2,BWD,0.2,cf,60,0.33426871551010673,0.2953834219321736,0.4579172113701403,0.45473749818244774,-55.02468228406128,0.6943860393843887
47,BWD_Ma6_Kn0p4,BWD,0.4,cp,60,0.04239056705985254,0.05954163939594963,0.08104582052355144,0.08641101309276637,-36.11620597914651,-6.619949720486617
47,BWD_Ma6_Kn0p4,BWD,0.4,cf,60,0.2122857489807681,0.1941644684962683,0.2994911847007377,0.3471848224975603,-54.246133198409424,-15.924888688954152
47,FWD_Ma6_Kn0p2,FWD,0.2,cp,60,0.034870142201626375,0.10568099118285314,0.07046256971660371,0.05480587297318859,33.325218728610544,22.219877597972125
47,FWD_Ma6_Kn0p2,FWD,0.2,cf,60,0.5779926026094816,0.8395197451450679,0.840226896196135,0.8549932445142001,-0.08423280752555941,-1.757423903580705
47,FWD_Ma6_Kn0p4,FWD,0.4,cp,60,0.02266790981130692,0.10235772106002906,0.05908633685215156,0.05604419031123494,42.27466551595108,5.1486463757751855
